Company Name,Location,Description,Website,Reason for Failure
Astute Networks,"San Diego, California, United States","Astute is a provider of performance storage appliances for physical, virtual and cloud computing environments.",www.astutenetworks.com,
Atlas Informatics,"Seattle, Washington, United States",Atlas Informatics is a startup in Seattle with an audacious goal to redefine search as we know it.,www.atlas.co/,
Attensity,"Redwood City, California, United States",Attensity is a provider of corporate insight solutions based on proprietary data contextualization for Global 1000 companies.,www.attensity.com/,
Auctionata,"Berlin, Berlin, Germany",Auctionata was an online auction platform for art & luxury collectibles and the inventor of the livestream auction.,auctionata.com,"Auctionata's issues originate from its reported unethical behavior, lack of transparency and outright lies by former Auctionata CEO and his close partners.

After months of being in business, reports of management, operational and revenue challenges at the firm arose after an independent auditing company discovered that the auction house was making very few direct deals, members of the company bided on or even bought items on the live sales and the company heavily overstated the amount of profit and sales it made to the public. The organization claimed that the auditing report didn't bring into account private deals and other income streams. The truth of the matter was that none of Auctionata's purported record-breaking online deal accomplishments were ever upheld by real deals. It was additionally noticed that blunders of oversights were a routine at Auctionata which had an embarrassing Yelp! review of 1 star, with customers complaining of everything from delivery times, the alarming disappearance of the items they put on sale on the website (often to be found on eBay) to the complete unresponsiveness of the company representatives. Auctionata, from its part, had the propensity of cleansing all negative data from its records.

The absence of morals, administration mismanagement and the naivety of financial specialists were alarming factors, and so was the willingness of investors to keep funding the startup despite its increasingly dubious reputation and dealings. Auctionata ultimately failed to find new speculators thus filing for bankruptcy and closing down.

Read more on:
https://news.artnet.com/market/auctionata-closes-insolvency-proceedings-874583
https://www.antiquestradegazette.com/news/2017/auctionata-closes-down-after-failure-to-find-buyer/
http://blog.thefineartblog.com/2017/03/was-auctionata-ever-ethical.html#axzz5L0zbaxZz
https://www.crunchbase.com/organization/auctionata"
Aurora Feint,"Burlingame, California, United States",Aurora Feint develops games and platforms for the iPhone.,aurorafeint.com,
Aviir,"Irvine, California, United States",Aviir provides cardio metabolic tests and services for the prevention and management of cardiovascular diseases.,www.aviir.com,
Avni Networks,"Milpitas, California, United States","Avni is radically transforming Data Centers to Virtual Clouds, for the Applications economy.",avni.io/,
Avocado™,"San Francisco, California, United States",Avocado is an app that enables couples to stay connected by messaging and sharing photos with each other.,avocado.io,
Avolanta,"Blythewood, South Carolina, United States",Avolanta is operates in stealth mode.,—,
Awarepoint,"San Diego, California, United States","Awarepoint provides workflow automation, tracking solutions and real-time location systems to the acute care hospital marketplace.",www.awarepoint.com,
Babble,"New York, New York, United States",Babble is a magazine and online community site that offers information and lifestyle content for urban hipsters.,www.babble.com,
Babelverse,"London, England, United Kingdom","Babelverse is the first and only human powered ""universal translator.""",—,
Backplane,"Palo Alto, California, United States","Backplane believes that the future of social networking does not lie in an all-encompassing network, but in niche networks with purpose.",thebackplane.com,
Balanced,"San Francisco, California, United States","Balanced is a payment system allowing marketplaces to charge cards, escrow funds, deposit via ACH direct, and collect fees.",www.balancedpayments.com,
Banter!,"San Francisco, California, United States","Real-time pulse on nearby nightlife activities - happy hours, live music, food trucks and more! Available in San Francisco.",www.thebanterapp.com,
BarEye,"Miami, Florida, United States","BarEye is a digital way to buy drinks. Buy, send and receive drinks from your favorite local bars, straight from your phone.",www.bareye.com,
Barnraiser,"Sausalito, California, United States","Largest good food & healthy living platform & marketplace connecting artisan food makers, farmers & tastemakers to 80M fans.",www.barnraiser.us,
Baroo,"Boston, Massachusetts, United States",Baroo partners with luxury apartment buildings to deliver high-quality pet care services straight to residents' doors.,www.baroo.co,
Basis,"Hoboken, New Jersey, United States",Basis is a price-stable cryptocurrency with an algorithmic central bank.,www.basis.io,
Batteries 911,"Doral, Florida, United States",Batteries 911 provides fast and secure battery replacement service.,www.batteries911.com/,
BeachMint,"Santa Monica, California, United States","BeachMint is an e-commerce platform providing fashionable clothing, jewelry, footwear, beauty products, and home appliances.",www.beachmint.com,
Beacon,"New York, New York, United States",Beacon is the premier solution for the frequent traveler.,flybeacon.com/,
Beamreach,"Milpitas, California, United States","Beamreach develops high-efficiency, low-cost, crystalline silicon solar cells and modules for photovoltaic (PV) electricity generation.",www.beamreachsolar.com/,
Beats Music,"San Francisco, California, United States","Beats Music is a website providing online music streaming service, centered around curated playlists created by musicians and music writers.",beatsmusic.com,
Beautified,"New York, New York, United States",Beautified is a new way to book last minute beauty & wellness appointments. Download the iOS app and book treatments in minutes.,www.getbeautified.com,
Bedloo,"Thousand Oaks, California, United States","Bedloo is a voting app that enables creating and voting on two choice questions using photos, videos or music.",bedloo.com,
Bee (One Financial),"Salt Lake City, Utah, United States","Bee provides bank accounts, debit cards and financial services",www.beeaccount.com,
Bee Cave Games,"Austin, Texas, United States","Bee Cave Games develops social and mobile games for the web, Facebook, and iOS and Android gaming platforms.",www.beecavegames.com,
Beep Networks,"San Francisco, California, United States",Beep Networks develops and offers cloud-connected wireless sensors.,www.beepnetworks.com,
Beepi,"Mountain View, California, United States",Beepi is a p2p used car marketplace where customers can buy or sell cars online.,beepi.com,"It went out of cash to operate and tried to sell itself to two potential buyers, but the potential sales were not successful and Beepi had to close operation.

The company had an incredibly high burn rate, spending about $7 million per month. The reasons for cash shortage were attributed mismanagement of funds to support expenditures unrelated to business such as covering the bills for the founders' partners and spendings unnecessary sums of money on expensive furnitures. At the same time, Beepi was also reported as giving disproportionately high salary and overtimes to its top management.

Besides having failed to manage the financial aspects of the startup, also Beepi’s logistics in buying and selling cars came short. Originally planning to complete an acquisition deal with Fair.com, one of its main competitors, that never happened and the company tried to negotiate with DGDG, but also this deal fell through. The company shut down in December 2016.

Read more on:
https://techcrunch.com/2017/02/16/car-startup-beepi-sold-for-parts-after-potential-exits-to-fair-and-then-dgdg-broke-down/
https://www.sramanamitra.com/2017/03/07/death-by-overfunding-beepi-towed-off-market/
https://www.wsj.com/articles/beepi-winding-down-after-burning-through-150-million-1487203816
https://www.crunchbase.com/organization/beepi"
BeeTV,"Milan, Lombardia, Italy",BeeTV is a TV recommendation engine that offers an app allowing users to get and share personalized show recommendations.,bee.tv,
Beme,"New York, New York, United States",Beme is a video sharing platform that allows its users to share their personal experiences.,beme.com/,
Bento,"San Francisco, California, United States","Delicious Asian food, delivered.",bentonow.com/,
beStylish.com,"Gurgaon, Haryana, India","BeStylish is an India-based online retailer offering a wide collection of footwear, from regular sneakers to high-fashion shoes.",www.bestylish.com,
Better Place,"Palo Alto, California, United States",Better Place develops and sells battery-charging and battery-switching services for electric cars.,www.betterplace.com,
Bex,"Vancouver, British Columbia, Canada",Bex.io develops a global network to proliferate white label bitcoin exchanges.,bex.io,
Beyond Oblivion,"New York, New York, United States","Beyond Oblivion, a music and technology company, offers Bonic, a social music service that distributes a legal music library from a cloud.",beyondoblivion.com,
Bezar,"New York, New York, United States",Bezar is the Marketplace for Design.,www.bezar.com/,
BF Rio Holdings,"Mclean, Virginia, United States",BF Rio Holdings is a Technology based company.,—,
Biba,"San Francisco, California, United States",Biba is a mobile-first business conferencing and messaging app that helps people get in touch instantly.,www.biba.com,
Big Live,"San Francisco, California, United States",BIG LIVE is a single screen social viewing platform connecting people around synchronous online video experiences.,www.biglive.com,
BigString,"Red Bank, New Jersey, United States","BigString.com is an email service allowing users to send, recall, erase, self-destruct and secure email correspondence.",www.bigstring.com,
Billeo Inc.,"Santa Clara, California, United States",[Acquired by PaymentUs]. Billeo is a leading provider of online shopping and bill pay services since 2006,—,
BillGuard,"New York, New York, United States","BillGuard was a personal finance analytics app that empowered consumers to control, protect and do more with their money.",www.billguard.com,
Bim App,"San Francisco, California, United States",Bim App is a French restaurant table booking app that allows users to view best tables available in real time around them.,www.bimapp.io/,
Bio Architecture Lab,"Berkeley, California, United States","Bio Architecture Lab is engaged in the development of low cost, scalable, and sustainable biomass.",www.ba-lab.com,
Birdbox,"Boulder, Colorado, United States",Birdbox is an online platform that enables people to share and collect photos with a group of people.,www.birdbox.com,
Bitcasa,"San Mateo, California, United States",Bitcasa is the leader in secure and simple cloud storage solutions.,www.bitcasa.com,
BiteHunter,"New York, New York, United States",BiteHunter was a real-time location-based mobile app that helps users find dining deals.,www.bitehunter.com,
BitInstant,"New York, New York, United States",BitInstant is a payment processor for various Bitcoin exchanges and other merchants.,www.bitinstant.com,
BizSlate,"New York, New York, United States",BizSlate is a Software-as-a-Service (SaaS) Enterprise Resource Planning (ERP) system.,www.bizslate.com/,
Blaast,"Helsinki, Southern Finland, Finland",Blaast is a cloud-based 2G mobile platform offering access to over one hundred apps through one download.,—,
Blab,"San Francisco, California, United States",Blab offers a platform that enables its users to communicate with the other users.,blab.im,
BlackJet,"West Palm Beach, Florida, United States",BlackJet allows consumers to book seats on private jets immediately and with guaranteed seat availability.,BlackJet.com,
BLiNQ Media,"Atlanta, Georgia, United States",BLiNQ Media is a leader in social advertising and delivers localized social commerce solutions at scale.,www.cofactordigital.com/,
Bloodhound,"San Francisco, California, United States",Bloodhound provides a mobile app for lead retrieval and event planning at trade shows and conferences.,bloodhound.com,
blue,"Tokyo, Tokyo, Japan",Blue offers a range of smartphone applications that enables users to manage their financial cards.,wallets.jp/,
BlueCava,"Irvine, California, United States",BlueCava employs multiscreen identification and targeting technologies to provide consumer activity data to large brands.,www.bluecava.com,
Bluenose Analytics,"Fremont, California, United States",Bluenose helps SaaS companies grow and retain their customers.,www.bluenose.com,
Bluesmart,"New York, New York, United States",Bluesmart develops Internet connected travel products that include physical products combined with software.,bluesmart.com/,
Boldend,"Carlsbad, California, United States",SaaS Web Security,—,
Bonafide,"Rochester, New York, United States","Bonafide enables reputation, trust and fraud prevention for Bitcoin.",bonafide.io/,
Bonativo,"Kreuzberg, Berlin, Germany",Bonativo brings you the weekly market home. Buy online the best regional foods and get them delivered right to your door.,bonativo.de,
BONDS.COM,"New York, New York, United States","BONDS.COM is a comprehensive, subscription-free online trading platform serving institutional fixed income investors.",bonds.com,
Boomerang,"Chicago, Illinois, United States",Boomerang is a gifting and rewards network for publishers with access to revenue-generating gift cards from top advertisers.,rang.com,
Booyah,"San Francisco, California, United States","Booyah is a real-world, location-based game developer that creates mass-market games and entertainment products.",www.booyah.com,
bop.fm,"San Francisco, California, United States",bop.fm is a YCombinator-backed music technology company.,www.bop.fm,
Bounce - Fixed Fare Cabs,"London, England, United Kingdom",Bounce is a minicab & taxi app. Users can choose their nearest car at a FIXED FARE. We’re a true marketplace where drivers set their prices.,www.bouncecars.com/,
Boundary,"Mountain View, California, United States",Boundary is a consolidated operations management platform providing SaaS-based solutions for clients running apps and cloud infrastructures.,www.boundary.com,
Bowery,"New York, New York, United States",Bowery is an environment management system that helps you deploy what you code into production.,bowery.io,
BrainCells,"San Diego, California, United States",BrainCells is a biotechnology startup focused on drugs intended to stimulate the growth of new neurons.,www.braincellsinc.com,
Branch,"New York, New York, United States","Branch Media builds social products to empower conversation, such as a platform for hosting and publishing invite-only conversations.",branch.com,
Brand Affinity Technologies,"Irvine, California, United States",Brand Affinity Technologies (BAT) connects brands and audiences with prominent influencers for use in cross-platform campaigns.,www.brandaffinity.net,
Brandscreen,"Sydney, New South Wales, Australia",Brandscreen is a real-time digital media trading platform.,brandscreen.com,
Branto Inc.,"Dover, Delaware, United States","Branto is a smart-home development company, and creators of the new ""Smart Home"" gadget.",branto.co,
Breeze,"San Francisco, California, United States","Breeze is a leasing platform that provides its users with no-commitment lease for individuals, who value flexibility.",www.joinbreeze.com,
Bridj,"Cambridge, Massachusetts, United States",Bridj is the world's first smart transit system which uses big data and awesome shuttles.,www.bridj.com/,
BrightSpark,"London, England, United Kingdom",BrightSpark embraces technology to deliver the benefit of one-to-one numeracy support to classrooms across the UK.,www.educationinvestor.co.uk/ShowArticle.aspx,
Brisk,"Malmö, Skane Lan, Sweden",Brisk.io builds tools for sales organizations to minimize reporting effort and maximize data quality and efficiency.,www.brisk.io,"Brisk company shut down in 2016. When they first launched they were getting too few customers so they started to offer customization and flexibility which gained them happy and paying customers but became costly for Brisk in the long term but they were reluctant to make customers pay for the additional services (which by the way they didn’t know the existence of) as they knew people expected apps to cost but few dollars. So, they tried to push forward until their big break.

With flexibility came a lack of focus, they didn’t know anymore who their customer persona was, what problem where they exactly trying to solve? Permitting many product cases, although not technically challenging, influenced the company to wind up having an exceptionally unfocused advancement, onboarding, and deals.

Lastly one of the founders wondered if the product had ever had a real market fit to begin with and if so, they might have lacked the vision to bring about the needed solution for the problem salespeople experienced.

Read more on:
http://saascribe.com/shut-saas-company-hampus-jakobsson-co-founder-brisk/
https://www.failory.com/interview/brisk
https://www.crunchbase.com/organization/brisk-io"
BRIVAS,"San Jose, California, United States",Advanced biometric systems.,www.brivas.org,
Broadcastr,"Brooklyn, New York, United States",Broadcastr is an application for the iPhone and Android devices that delivers location-based content according to the user's interests.,www.getspun.com,
BTCjam,"San Francisco, California, United States","With $11 million dollars in loan volume and growing, BTCJam has served more than 100,000 users from over 200 countries.",btcjam.com,
Buck,"Seattle, Washington, United States",Buck is mobile checkout platform allowing users make single-click mobile credit card payments for purchases.,gobuck.com,
Buddy App,"London, England, United Kingdom",Buddy is a multi award winning social business providing a digital platform to support therapy services,www.buddyapp.org,
Butter Systems,"San Francisco, California, United States",Butter Systems introduces a restaurant tablet system that allow customers to view the menu and place orders using the tablet.,buttersystems.com,
Buttercoin,"Palo Alto, California, United States",Buttercoin is an open source digital trading engine used to arrange trades in an order book.,buttercoin.com,
"Buzz Technologies, Inc.","Menlo Park, California, United States",Buzz Technologies provides a platform for independent contractors to find work.,—,
byyd,"London, England, United Kingdom",byyd is a U.K.-based mobile platform that enables advertisers to connect with audiences around the world.,byyd-tech.com,
C8 MediSensors,"San Jose, California, United States",C8 MediSensors develops non-invasive glucose monitoring products for diabetic patients.,www.c8-inc.com/us,
CalStar Products,"Caledonia, Wisconsin, United States","CalStar Products manufactures low-energy, low-CO2 green building products for commercial exteriors and hardscapes.",www.calstarproducts.com,
Calxeda,"Austin, Texas, United States","Calxeda offers a software server platform that uses energy-efficient ARM architecture, enabling reduction in capital and operating expenses.",www.calxeda.com,
Cambrian Genomics,"San Francisco, California, United States","Cambrian Genomics is a biotechnology company which uses a novel, laser based technique to synthesize DNA.",cambriangenomics.com,
Cambridge Analytica,"London, England, United Kingdom","Cambridge Analytica is a data mining, analysis, and brokerage company.",cambridgeanalytica.org/,"Read more on:
https://www.theguardian.com/uk-news/2020/jan/04/cambridge-analytica-data-leak-global-election-manipulation - Fresh Cambridge Analytica leak ‘shows global manipulation is out of control’"
CampaignDeus,"London, England, United Kingdom","CampaignDeus was the marketing industry’s leading independent provider of influencer campaign data, benchmarking & reporting.",www.campaigndeus.com/,
Campus Quad,"San Carlos, California, United States",Campus Quad is mobile student engagement platform.,www.campusquad.co,
CapriCoast,"Bangalore, Karnataka, India",CapriCoast.com is set to revolutionize modular furniture buying in India.,www.capricoast.com/,
Cardback,"New Delhi, Delhi, India","Cardback is a payment recommendation platform that helps credit, debit, prepaid cardholders save smart every time they pay.",cardback.in,
CardioDiagnostics,"Wilmington, Delaware, United States",CardioDiagnostics is a medical technology company specialized in cardiac care solutions.,cardiodiagnostix.com,
Caring.com,"San Mateo, California, United States","Caring.com is an online destination for those seeking information about care services for aging parents, spouses and other loved ones.",www.caring.com,
